,text,url
1,>WOMEN>OUTERWEAR>울트라라이트다운(경량패딩),https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A10A01
2,>WOMEN>OUTERWEAR>재킷·코트,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A10A02
3,>WOMEN>OUTERWEAR>캐주얼 아우터,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A10A03
4,>WOMEN>TOPS>니트(스웨터·가디건),https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A06
5,>WOMEN>TOPS>스웨트셔츠,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A05
6,>WOMEN>TOPS>티셔츠,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A04
7,>WOMEN>TOPS>후리스,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A10
8,>WOMEN>TOPS>셔츠·블라우스,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A01
9,>WOMEN>TOPS>원피스,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A07
10,>WOMEN>TOPS>UT(그래픽티셔츠),https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A03
11,>WOMEN>BOTTOMS>진,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A12A02
12,>WOMEN>BOTTOMS>앵클팬츠,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A12A03
13,>WOMEN>BOTTOMS>레깅스팬츠,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A12A04
14,>WOMEN>BOTTOMS>캐주얼팬츠,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A12A05
15>WOMEN>BOTTOMS>스웨트팬츠,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A11A05&utm_source=L3&utm_medium=GNB&utm_campaign=w_pc_sweatpants_gnb&utm_term=191108#NQ1A02A11A05A03
16,>WOMEN>BOTTOMS>스커트,https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A12A06
17,>WOMEN>BOTTOMS>Maternity Collection(임부복),https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A02A08A29
