,text,url
0,>Outer>cardigan,https://daltt.co.kr/category/cardigan/56/
1,>Outer>jacket,https://daltt.co.kr/category/jacket/57/
2,>Outer>coat,https://daltt.co.kr/category/coat/58/
3,>Outer>mustang,https://daltt.co.kr/category/mustang/92/
4,>Outer>jumper,https://daltt.co.kr/category/jumper/93/
5,>Outer>전체보기,https://daltt.co.kr/category/전체보기/98/
6,>Top>blouse,https://daltt.co.kr/category/blouse/61/
7,>Top>shirts,https://daltt.co.kr/category/shirts/128/
8,>Top>knit,https://daltt.co.kr/category/knit/60/
9,>Top>tee,https://daltt.co.kr/category/tee/59/
10,>Top>sleeveless,https://daltt.co.kr/category/sleeveless/70/
11,>Top>전체보기,https://daltt.co.kr/category/전체보기/99/
12,>Dress>mini,https://daltt.co.kr/category/mini/118/
13,>Dress>long,https://daltt.co.kr/category/long/119/
14,>Dress>전체보기,https://daltt.co.kr/category/전체보기/117/
15,>Skirt,https://daltt.co.kr/category/skirt/141/
16,>Pants,https://daltt.co.kr/category/pants/142/
