,text,url
0,>아우터>코트,http://imvely.com/product/list.html?cate_no=42
1,>아우터>다운·패딩,http://imvely.com/product/list.html?cate_no=528
2,>아우터>베스트,http://imvely.com/product/list.html?cate_no=835
3,>아우터>점퍼,http://imvely.com/product/list.html?cate_no=356
4,>아우터>자켓,http://imvely.com/product/list.html?cate_no=834
5,>아우터>가디건,http://imvely.com/product/list.html?cate_no=44
6,>원피스>미니블리,http://imvely.com/product/list.html?cate_no=695
7,>원피스>롱블리,http://imvely.com/product/list.html?cate_no=788
8,>원피스>플라워·패턴,http://imvely.com/product/list.html?cate_no=553
9,>원피스>니트원피스,http://imvely.com/product/list.html?cate_no=843
10,>원피스>뷔스티에·오버롤,http://imvely.com/product/list.html?cate_no=838
11,>원피스>미니원피스,http://imvely.com/product/list.html?cate_no=371
12,>원피스>롱·맥시원피스,http://imvely.com/product/list.html?cate_no=370
13,>상의>후드·맨투맨,http://imvely.com/product/list.html?cate_no=361
14,>상의>니트,http://imvely.com/product/list.html?cate_no=116
15,>상의>기모,http://imvely.com/product/list.html?cate_no=456
16,>상의>베이직,http://imvely.com/product/list.html?cate_no=400
17,>상의>스트라이프,http://imvely.com/product/list.html?cate_no=362
18,>상의>프린팅,http://imvely.com/product/list.html?cate_no=48
19,>상의>슬리브리스,http://imvely.com/product/list.html?cate_no=841
20,>상의>이너웨어,http://imvely.com/product/list.html?cate_no=842
21,>상의>베베블리,http://imvely.com/product/list.html?cate_no=929
22,>블라우스 & 셔츠>블라우스,http://imvely.com/product/list.html?cate_no=366
23,>블라우스 & 셔츠>셔츠,http://imvely.com/product/list.html?cate_no=367
24,>팬츠>데님,http://imvely.com/product/list.html?cate_no=379
25,>팬츠>슬랙스,http://imvely.com/product/list.html?cate_no=233
26,>팬츠>레깅스,http://imvely.com/product/list.html?cate_no=844
27,>팬츠>기모,http://imvely.com/product/list.html?cate_no=532
28,>팬츠>점프수트·오버롤,http://imvely.com/product/list.html?cate_no=845
29,>팬츠>스키니·스트레이트,http://imvely.com/product/list.html?cate_no=496
30,>팬츠>부츠컷·와이드,http://imvely.com/product/list.html?cate_no=499
31,>팬츠>롱블리,http://imvely.com/product/list.html?cate_no=536
32,>팬츠>통통블리(31~34),http://imvely.com/product/list.html?cate_no=403
33,>팬츠>이너웨어,http://imvely.com/product/list.html?cate_no=846
34,>팬츠>베베블리,http://imvely.com/product/list.html?cate_no=927
35,>스커트>미니블리,http://imvely.com/product/list.html?cate_no=855
36,>스커트>롱블리,http://imvely.com/product/list.html?cate_no=391
37,>스커트>치마바지,http://imvely.com/product/list.html?cate_no=395
38,>스커트>미디·롱스커트,http://imvely.com/product/list.html?cate_no=533
39,>스커트>미니스커트,http://imvely.com/product/list.html?cate_no=534
40,>스커트>플라워·패턴,http://imvely.com/product/list.html?cate_no=396
