,text,url
0,>DRESS,http://leehee.co.kr/product/list.html?cate_no=79
1,>TOP>KNIT,http://leehee.co.kr/product/list.html?cate_no=102
2,>TOP>VOLUME TEE,http://leehee.co.kr/product/list.html?cate_no=130
3,>TOP>TEE,http://leehee.co.kr/product/list.html?cate_no=103
4,>TOP>BLOUSE,http://leehee.co.kr/product/list.html?cate_no=104
5,>TOP>MTM,http://leehee.co.kr/product/list.html?cate_no=105
6,>TOP>COLLAR HENRY,http://leehee.co.kr/product/list.html?cate_no=116
7,>TOP>HOOD,http://leehee.co.kr/product/list.html?cate_no=114
8,>TOP>OFF or LESS,http://leehee.co.kr/product/list.html?cate_no=115
9,>OUTER>,http://leehee.co.kr/product/list.html?cate_no=86
10,>SKIRT>LONG,http://leehee.co.kr/product/list.html?cate_no=111
11,>SKIRT>MIDI,http://leehee.co.kr/product/list.html?cate_no=112
12,>SKIRT>SHORT,http://leehee.co.kr/product/list.html?cate_no=113
13,>PANTS>DENIM,http://leehee.co.kr/product/list.html?cate_no=106
14,>PANTS>SLACKS,http://leehee.co.kr/product/list.html?cate_no=107
15,>PANTS>PANTS,http://leehee.co.kr/product/list.html?cate_no=108
16,>PANTS>SHORTS,http://leehee.co.kr/product/list.html?cate_no=109
17,>PANTS>LINEN,http://leehee.co.kr/product/list.html?cate_no=110
